municipality,year,population
Frederikshavn,2017,60286.5
Frederikshavn,2018,60124.0
Frederikshavn,2019,59903.5
Frederikshavn,2020,59423.75
Frederikshavn,2021,58969.5
Frederikshavn,2022,58936.25
Frederikshavn,2023,58719.75
Frederikssund,2008,44192.0
Frederikssund,2009,44251.25
Frederikssund,2010,44282.0
Frederikssund,2011,44339.0
Frederikssund,2012,44384.25
Frederikssund,2013,44370.75
Frederikssund,2014,44452.25
Frederikssund,2015,44608.0
Frederikssund,2016,44857.75
Frederikssund,2017,45118.0
Frederikssund,2018,45252.5
Frederikssund,2019,45334.5
Frederikssund,2020,45366.0
Frederikssund,2021,45676.75
Frederikssund,2022,46045.25
Frederikssund,2023,46236.5
Furesø,2008,37747.5
Furesø,2009,38073.0
Furesø,2010,38243.75
Furesø,2011,38289.5
Furesø,2012,38191.5
Furesø,2013,38254.0
Furesø,2014,38654.5
Furesø,2015,39476.5
Furesø,2016,40392.75
Furesø,2017,40647.25
Furesø,2018,40935.0
Furesø,2019,41120.25
Furesø,2020,40976.0
Furesø,2021,41124.0
Furesø,2022,41671.5
Furesø,2023,42242.5
Gentofte,2008,69186.0
Gentofte,2009,70232.75
Gentofte,2010,71397.0
Gentofte,2011,72050.0
Gentofte,2012,73041.0
Gentofte,2013,73673.0
Gentofte,2014,74615.0
Gentofte,2015,75135.5
Gentofte,2016,75553.25
Gentofte,2017,75845.25
Gentofte,2018,75472.75
Gentofte,2019,75112.0
Gentofte,2020,74754.5
Gentofte,2021,74360.5
Gentofte,2022,74410.75
Gentofte,2023,74957.5
Gladsaxe,2008,62816.5
Gladsaxe,2009,63434.75
Gladsaxe,2010,64454.25
Gladsaxe,2011,65075.75
Gladsaxe,2012,65587.75
Gladsaxe,2013,66231.5
Gladsaxe,2014,66884.0
Gladsaxe,2015,67496.0
Gladsaxe,2016,68191.75
Gladsaxe,2017,69110.5
Gladsaxe,2018,69453.25
Gladsaxe,2019,69551.5
Gladsaxe,2020,69180.75
Gladsaxe,2021,69117.25
Gladsaxe,2022,69482.5
Gladsaxe,2023,70240.75
Glostrup,2008,20788.0
Glostrup,2009,21129.75
Glostrup,2010,21372.0
Glostrup,2011,21480.25
Glostrup,2012,21727.0
Glostrup,2013,21973.5
Glostrup,2014,22197.75
Glostrup,2015,22398.25
Glostrup,2016,22480.5
Glostrup,2017,22555.0
Glostrup,2018,22586.25
Glostrup,2019,22841.75
Glostrup,2020,23275.0
Glostrup,2021,23480.5
Glostrup,2022,23553.75
Glostrup,2023,23668.25
Greve,2008,47793.0
Greve,2009,47902.0
Greve,2010,47873.5
Greve,2011,47939.25
Greve,2012,47973.0
Greve,2013,48033.5
Greve,2014,48431.0
Greve,2015,49057.75
Greve,2016,49666.75
Greve,2017,49971.0
Greve,2018,50056.25
Greve,2019,50325.5
Greve,2020,50522.75
Greve,2021,50609.25
Greve,2022,51131.25
Greve,2023,51588.75
Gribskov,2008,40607.0
Gribskov,2009,40707.0
Gribskov,2010,40758.5
Gribskov,2011,40651.75
Gribskov,2012,40657.25
Gribskov,2013,40739.25
Gribskov,2014,40867.75
Gribskov,2015,40985.5
Gribskov,2016,41190.25
Gribskov,2017,41235.0
Gribskov,2018,41251.25
Gribskov,2019,41202.75
Gribskov,2020,41094.25
Gribskov,2021,41112.5
Gribskov,2022,41403.5
Gribskov,2023,41826.5
Guldborgsund,2008,63401.5
Guldborgsund,2009,63052.0
Guldborgsund,2010,62806.5
Guldborgsund,2011,62245.75
Guldborgsund,2012,61712.5
Guldborgsund,2013,61191.0
Guldborgsund,2014,60917.75
Guldborgsund,2015,60870.0
Guldborgsund,2016,61121.0
Guldborgsund,2017,61266.0
Guldborgsund,2018,61102.25
Guldborgsund,2019,60858.0
Guldborgsund,2020,60503.75
Guldborgsund,2021,60367.0
Guldborgsund,2022,60350.5
Guldborgsund,2023,60040.5
Haderslev,2008,56443.0
Haderslev,2009,56445.5
Haderslev,2010,56303.25
Haderslev,2011,56123.5
Haderslev,2012,56212.75
Haderslev,2013,56034.25
Haderslev,2014,55912.25
Haderslev,2015,55964.5
Haderslev,2016,56045.25
Haderslev,2017,56006.75
Haderslev,2018,55921.25
Haderslev,2019,55798.75
Haderslev,2020,55572.25
Haderslev,2021,55367.25
Haderslev,2022,55404.25
Haderslev,2023,55440.75
Halsnæs,2008,30882.25
Halsnæs,2009,31075.25
Halsnæs,2010,31081.5
Halsnæs,2011,31083.5
Halsnæs,2012,30896.0
Halsnæs,2013,30756.0
Halsnæs,2014,30696.25
Halsnæs,2015,30849.0
Halsnæs,2016,31114.25
Halsnæs,2017,31243.0
Halsnæs,2018,31282.75
Halsnæs,2019,31359.5
Halsnæs,2020,31478.5
Halsnæs,2021,31443.25
Halsnæs,2022,31495.5
Halsnæs,2023,31501.0
Hedensted,2008,45745.0
Hedensted,2009,45976.0
Hedensted,2010,45977.75
Hedensted,2011,46054.0
Hedensted,2012,45945.25
Hedensted,2013,45834.25
Hedensted,2014,45861.75
Hedensted,2015,46207.75
Hedensted,2016,46318.75
Hedensted,2017,46603.5
Hedensted,2018,46651.5
Hedensted,2019,46703.0
Hedensted,2020,46719.25
Hedensted,2021,46925.25
Hedensted,2022,47366.25
Hedensted,2023,47641.0
Helsingør,2008,60859.0
Helsingør,2009,61071.25
Helsingør,2010,61274.25
Helsingør,2011,61360.5
Helsingør,2012,61601.5
Helsingør,2013,61572.25
Helsingør,2014,61593.75
Helsingør,2015,61867.25
Helsingør,2016,62319.0
Helsingør,2017,62567.5
Helsingør,2018,62666.75
Helsingør,2019,62637.5
Helsingør,2020,62881.0
Helsingør,2021,63079.5
Helsingør,2022,63121.0
Helsingør,2023,63585.25
Herlev,2008,26606.5
Herlev,2009,26603.5
Herlev,2010,26636.75
Herlev,2011,26580.5
Herlev,2012,26696.0
Herlev,2013,27109.5
Herlev,2014,27897.75
Herlev,2015,28205.75
Herlev,2016,28426.5
Herlev,2017,28482.5
Herlev,2018,28595.5
Herlev,2019,28900.25
Herlev,2020,28932.5
Herlev,2021,28866.0
Herlev,2022,28891.25
Herlev,2023,29349.5
Herning,2008,84597.25
Herning,2009,85298.25
Herning,2010,85658.25
Herning,2011,86004.75
Herning,2012,86431.25
Herning,2013,86660.75
Herning,2014,86844.25
Herning,2015,87134.25
Herning,2016,87990.25
Herning,2017,88572.25
Herning,2018,88800.5
Herning,2019,89025.75
Herning,2020,89262.5
Herning,2021,89271.5
Herning,2022,89641.0
Herning,2023,89978.0
Hillerød,2008,46720.75
Hillerød,2009,47194.5
Hillerød,2010,47640.25
Hillerød,2011,48059.5
Hillerød,2012,48241.5
Hillerød,2013,48352.25
Hillerød,2014,48790.75
Hillerød,2015,49332.75
Hillerød,2016,49834.0
Hillerød,2017,50265.5
Hillerød,2018,50748.75
Hillerød,2019,51143.25
Hillerød,2020,51213.5
Hillerød,2021,52024.0
Hillerød,2022,53609.75
Hillerød,2023,54200.5
Hjørring,2008,67159.25
Hjørring,2009,67012.25
Hjørring,2010,66682.5
Hjørring,2011,66417.0
Hjørring,2012,66033.0
Hjørring,2013,65609.0
Hjørring,2014,65441.5
Hjørring,2015,65362.0
Hjørring,2016,65347.25
Hjørring,2017,65340.5
Hjørring,2018,65099.75
Hjørring,2019,64650.5
Hjørring,2020,64393.25
Hjørring,2021,64033.0
Hjørring,2022,63915.75
Hjørring,2023,63920.0
Holbæk,2008,69229.0
Holbæk,2009,69512.5
Holbæk,2010,69557.75
Holbæk,2011,69502.25
Holbæk,2012,69368.75
Holbæk,2013,69208.0
Holbæk,2014,68982.5
Holbæk,2015,69440.75
Holbæk,2016,70332.5
Holbæk,2017,70971.5
Holbæk,2018,71111.0
Holbæk,2019,71346.25
Holbæk,2020,71649.0
Holbæk,2021,72275.0
Holbæk,2022,73101.0
Holbæk,2023,73701.5
Holstebro,2008,57119.5
Holstebro,2009,57208.0
Holstebro,2010,57141.0
Holstebro,2011,57182.0
Holstebro,2012,57218.0
Holstebro,2013,57302.5
Holstebro,2014,57424.25
Holstebro,2015,57577.5
Holstebro,2016,57865.0
Holstebro,2017,58293.5
Holstebro,2018,58467.75
Holstebro,2019,58534.5
Holstebro,2020,58638.75
Holstebro,2021,58619.75
Holstebro,2022,58776.0
Holstebro,2023,59005.0
Horsens,2008,80453.0
Horsens,2009,81553.5
Horsens,2010,82215.5
Horsens,2011,83039.25
Horsens,2012,83974.75
Horsens,2013,85118.75
Horsens,2014,86008.25
Horsens,2015,86802.0
Horsens,2016,88213.75
Horsens,2017,89255.0
Horsens,2018,89878.0
Horsens,2019,90818.75
Horsens,2020,91335.25
Horsens,2021,92945.25
Horsens,2022,95314.25
Horsens,2023,96771.25
Hvidovre,2008,49313.75
Hvidovre,2009,49440.75
Hvidovre,2010,49858.5
Hvidovre,2011,50271.25
Hvidovre,2012,50925.25
Hvidovre,2013,51561.25
Hvidovre,2014,52045.0
Hvidovre,2015,52567.0
Hvidovre,2016,52946.0
Hvidovre,2017,53096.75
Hvidovre,2018,53416.25
Hvidovre,2019,53491.5
Hvidovre,2020,53467.25
Hvidovre,2021,53326.0
Hvidovre,2022,53322.0
Hvidovre,2023,53597.5
Høje-Taastrup,2008,47250.0
Høje-Taastrup,2009,47521.5
Høje-Taastrup,2010,47625.25
Høje-Taastrup,2011,47897.0
Høje-Taastrup,2012,48205.5
Høje-Taastrup,2013,48606.0
Høje-Taastrup,2014,48948.25
Høje-Taastrup,2015,49518.5
Høje-Taastrup,2016,50121.25
Høje-Taastrup,2017,50373.25
Høje-Taastrup,2018,50657.25
Høje-Taastrup,2019,50826.0
Høje-Taastrup,2020,50937.25
Høje-Taastrup,2021,52286.75
Høje-Taastrup,2022,53857.75
Høje-Taastrup,2023,56133.0
Hørsholm,2008,24236.0
Hørsholm,2009,24321.25
Hørsholm,2010,24414.25
Hørsholm,2011,24401.5
Hørsholm,2012,24395.75
Hørsholm,2013,24596.75
Hørsholm,2014,24788.5
Hørsholm,2015,24923.5
Hørsholm,2016,24968.75
Hørsholm,2017,25044.0
Hørsholm,2018,25051.25
Hørsholm,2019,24992.75
Hørsholm,2020,24856.25
Hørsholm,2021,24819.0
Hørsholm,2022,24776.0
Hørsholm,2023,24746.25
Ikast-Brande,2008,40031.5
Ikast-Brande,2009,40259.5
Ikast-Brande,2010,40390.75
Ikast-Brande,2011,40604.75
Ikast-Brande,2012,40601.5
Ikast-Brande,2013,40498.5
Ikast-Brande,2014,40650.25
Ikast-Brande,2015,40751.5
Ikast-Brande,2016,40946.75
Ikast-Brande,2017,41203.25
Ikast-Brande,2018,41341.0
Ikast-Brande,2019,41472.0
Ikast-Brande,2020,41381.25
Ikast-Brande,2021,41687.5
Ikast-Brande,2022,42248.25
Ikast-Brande,2023,42648.75
Ishøj,2008,20695.75
Ishøj,2009,20740.5
Ishøj,2010,20680.75
Ishøj,2011,20972.75
Ishøj,2012,21097.0
Ishøj,2013,21262.25
Ishøj,2014,21721.75
Ishøj,2015,22153.0
Ishøj,2016,22493.0
Ishøj,2017,22835.0
Ishøj,2018,22996.0
Ishøj,2019,22959.25
Ishøj,2020,22998.5
Ishøj,2021,23101.75
Ishøj,2022,23330.5
Ishøj,2023,23600.75
Jammerbugt,2008,39021.75
Jammerbugt,2009,38968.75
Jammerbugt,2010,38845.0
