OMRÅDE,ALDER,KØN,TID,INDHOLD
Jammerbugt,Alder i alt,I alt,2018,3.5
Aalborg,Alder i alt,I alt,2018,5.1
Hjørring,Alder i alt,I alt,2018,4.3
København,Alder i alt,I alt,2018,4.5
Frederiksberg,Alder i alt,I alt,2018,4.0
Ballerup,Alder i alt,I alt,2018,3.5
Brøndby,Alder i alt,I alt,2018,5.8
Dragør,Alder i alt,I alt,2018,2.7
Gentofte,Alder i alt,I alt,2018,3.0
Gladsaxe,Alder i alt,I alt,2018,3.5
Glostrup,Alder i alt,I alt,2018,4.3
Herlev,Alder i alt,I alt,2018,3.5
Albertslund,Alder i alt,I alt,2018,5.3
Hvidovre,Alder i alt,I alt,2018,3.5
Høje-Taastrup,Alder i alt,I alt,2018,4.6
Lyngby-Taarbæk,Alder i alt,I alt,2018,2.7
Rødovre,Alder i alt,I alt,2018,4.6
Ishøj,Alder i alt,I alt,2018,6.4
Tårnby,Alder i alt,I alt,2018,3.4
Vallensbæk,Alder i alt,I alt,2018,3.4
Furesø,Alder i alt,I alt,2018,2.6
Allerød,Alder i alt,I alt,2018,2.1
Odense,Alder i alt,I alt,2023,3.6
Svendborg,Alder i alt,I alt,2023,3.1
Nordfyns,Alder i alt,I alt,2023,2.9
Langeland,Alder i alt,I alt,2023,3.2
Ærø,Alder i alt,I alt,2023,1.9
Haderslev,Alder i alt,I alt,2023,2.7
Billund,Alder i alt,I alt,2023,1.7
Sønderborg,Alder i alt,I alt,2023,2.6
Tønder,Alder i alt,I alt,2023,2.1
Esbjerg,Alder i alt,I alt,2023,2.4
Fanø,Alder i alt,I alt,2023,2.7
Varde,Alder i alt,I alt,2023,1.9
Vejen,Alder i alt,I alt,2023,1.8
Aabenraa,Alder i alt,I alt,2023,2.3
Fredericia,Alder i alt,I alt,2023,2.9
Horsens,Alder i alt,I alt,2023,2.6
Kolding,Alder i alt,I alt,2023,2.6
Vejle,Alder i alt,I alt,2023,2.4
Herning,Alder i alt,I alt,2023,2.2
Holstebro,Alder i alt,I alt,2023,1.8
Lemvig,Alder i alt,I alt,2023,2.1
Struer,Alder i alt,I alt,2023,2.8
Syddjurs,Alder i alt,I alt,2023,2.6
Norddjurs,Alder i alt,I alt,2023,2.8
Favrskov,Alder i alt,I alt,2023,2.0
Odder,Alder i alt,I alt,2023,2.5
