BOPOMR,HERKOMST,HFUDD,ALDER,KØN,TID,INDHOLD
Kerteminde,I alt,I alt,Alder i alt,I alt,2007,16251
Odense,I alt,I alt,Alder i alt,I alt,2007,135236
Faxe,I alt,I alt,Alder i alt,I alt,2010,24851
Ærø,I alt,I alt,Alder i alt,I alt,2016,3953
Fredericia,I alt,I alt,Alder i alt,I alt,2016,34925
Aabenraa,I alt,I alt,Alder i alt,I alt,2016,40264
Vallensbæk,I alt,I alt,Alder i alt,I alt,2010,10158
Fredensborg,I alt,I alt,Alder i alt,I alt,2010,27515
Nordfyns,I alt,I alt,Alder i alt,I alt,2007,20399
Ærø,I alt,I alt,Alder i alt,I alt,2007,4508
Billund,I alt,I alt,Alder i alt,I alt,2007,17976
Tønder,I alt,I alt,Alder i alt,I alt,2007,27831
Fanø,I alt,I alt,Alder i alt,I alt,2007,2262
Vejen,I alt,I alt,Alder i alt,I alt,2007,28852
Kerteminde,I alt,I alt,Alder i alt,I alt,2016,15912
Svendborg,I alt,I alt,Alder i alt,I alt,2016,40295
Gentofte,I alt,I alt,Alder i alt,I alt,2010,49151
Fredericia,I alt,I alt,Alder i alt,I alt,2007,34780
Vejen,I alt,I alt,Alder i alt,I alt,2016,28996
Hørsholm,I alt,I alt,Alder i alt,I alt,2010,16081
Middelfart,I alt,I alt,Alder i alt,I alt,2016,25823
Ballerup,I alt,I alt,Alder i alt,I alt,2010,32969
Slagelse,I alt,I alt,Alder i alt,I alt,2016,54806
Lejre,I alt,I alt,Alder i alt,I alt,2016,18534
Frederikssund,I alt,I alt,Alder i alt,I alt,2010,30896
Guldborgsund,I alt,I alt,Alder i alt,I alt,2016,41675
Halsnæs,I alt,I alt,Alder i alt,I alt,2010,21794
Gribskov,I alt,I alt,Alder i alt,I alt,2010,28629
Haderslev,I alt,I alt,Alder i alt,I alt,2016,38257
Sønderborg,I alt,I alt,Alder i alt,I alt,2016,50146
Faxe,I alt,I alt,Alder i alt,I alt,2016,24900
Fanø,I alt,I alt,Alder i alt,I alt,2016,2164
Glostrup,I alt,I alt,Alder i alt,I alt,2007,14479
